EruptionId,VolcanoName,Country,Region,Latitude,Longitude,Elevation,Morphology,EventYear,EventMonth,EventDay,VEI,DeathsTotal,InjuriesTotal,HousesDestroyed,DamageMillionsUSD,Agent,TimeErupt,Status
1215,Azumayama,Japan,Honshu-Japan,37.735,140.244,1949,Stratovolcano,1893,6,7,2,2,,,,T,D1,Historical
1232,Zaozan [Zaosan],Japan,Honshu-Japan,38.144,140.44,1841,Complex volcano,1867,10,21,2,3,,,,M,D2,Historical
1246,Chokaisan,Japan,Honshu-Japan,39.099,140.049,2236,Stratovolcano,1801,8,14,2,8,,,,T,D1,Historical
1315,Izu-Oshima,Japan,Izu Is-Japan,34.724,139.394,746,Stratovolcano,1953,10,5,1,1,,,,,D1,Historical
1318,Izu-Oshima,Japan,Izu Is-Japan,34.724,139.394,746,Stratovolcano,1957,10,13,2,1,53,,,T,D1,Historical
1332,Izu-Oshima,Japan,Izu Is-Japan,34.724,139.394,746,Stratovolcano,1986,11,15,3,1,,,,I,D1,Historical
1342,Dubbi,Eritrea,Africa-NE,13.579,41.809,1625,Stratovolcano,1861,5,7,3,106,,,,P,D3,Historical
1343,Okataina,New Zealand,New Zealand,-38.157,176.507,1111,Lava dome,1886,6,10,5,153,,,,T,D1,Historical
1344,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1906,4,4,3,350,300,,,"T,L",D2,Historical
1345,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1794,6,15,3,400,,,,"M,L,T,G",D2,Historical
1346,Rabaul,Papua New Guinea,New Britain-SW Pac,-4.246,152.194,688,Pyroclastic shield,1937,5,29,4,507,,,,"P,T,W,I",D1,Historical
1348,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,79,8,25,5,2100,,,,"P,T",D2,Historical
1349,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1631,12,16,5,4000,,,,"P,E,M",D2,Historical
1350,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1669,3,11,3,,,,,,D1,Historical
1351,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,-1610,,,7,,,,,W,D2,Historical
1352,"Uwayrid, Harrat",Saudi Arabia,Arabia-W,27.08,37.25,1920,Volcanic field,640,,,2,,,,,T,D6,Anthropology
1353,Dakataua,Papua New Guinea,New Britain-SW Pac,-5.046,150.1,408,Caldera,1895,,,2,,,,,?,D3,Anthropology
1354,Witori,Papua New Guinea,New Britain-SW Pac,-5.575,150.516,724,Caldera,1914,,,3,,,,,I,D2,Historical
1355,Kyejo,Tanzania,Africa-E,-9.229,33.792,2176,Stratovolcano,1800,,,2,,,,,L,D3,Historical
1356,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,1650,9,26,4,120,,,,"G,W,T",D2,Historical
1357,Long Island,Papua New Guinea,New Guinea-NE of,-5.358,147.12,1280,Complex volcano,1660,,,6,2000,,,,"T,P,W,I",D1,Historical
1380,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1698,5,,3,,,,,,D2,Historical
1405,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1813,5,,2,,,,,,D2,Historical
1440,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1879,2,4,2,,,,,,D1,Historical
1476,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1944,8,20,2,,,1,,W,D1,Historical
1581,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1929,8,2,1,2,,,,T,D1,Historical
1628,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1985,12,19,1,1,,,,S,D1,Historical
1650,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,1866,2,20,2,1,,,,T,D2,Historical
1666,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.764,35.914,2962,Stratovolcano,1917,1,1,3,,,,,,D1,Historical
1668,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.764,35.914,2962,Stratovolcano,1940,7,24,2,,,,,,D1,Historical
1671,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.764,35.914,2962,Stratovolcano,1966,8,14,4,,,,,,D1,Historical
1672,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.764,35.914,2962,Stratovolcano,1967,7,8,3,,,,,,D1,Historical
1682,Nyamulagira,"Congo, DRC",Africa-C,-1.408,29.2,3058,Shield volcano,1938,1,28,1,,,,,,D1,Historical
1713,Cameroon,Cameroon,Africa-W,4.203,9.17,4095,Stratovolcano,1909,4,28,2,,,,,,D1,Historical
1719,Oku Volcanic Field,Cameroon,Africa-W,6.25,10.5,3011,Maar,1986,8,21,3,1700,300,,,G,D5,Radiocarbon
1731,Karthala,Comoros,Indian O-W,-11.75,43.38,2361,Shield volcano,1977,4,5,1,1,,293,,L,D1,Historical
1904,Taupo,New Zealand,New Zealand,-38.781,175.893,760,Caldera,233,,,6,,,,,,D6,Radiocarbon
2029,Unnamed,Tonga,Tonga-SW Pacific,-21.338,-175.65,-68,Submarine volcano,1907,7,,,,,,,,D2,Historical
2065,Ofu-Olosega,United States,Samoa-SW Pacific,-14.175,-169.618,639,Shield volcano,1866,9,12,2,,,,,,D3,Historical
2068,Savaii,Samoa,Samoa-SW Pacific,-13.612,-172.525,1858,Shield volcano,1905,8,4,2,,,,,,D2,Historical
2069,St. Andrew Strait,Papua New Guinea,Admiralty Is-SW Paci,-2.38,147.35,270,Complex volcano,350,,,,,,,,,D2,Historical
2071,St. Andrew Strait,Papua New Guinea,Admiralty Is-SW Paci,-2.38,147.35,270,Complex volcano,1953,6,27,,,,,,,D2,Historical
2125,Manam,Papua New Guinea,New Guinea-NE of,-4.08,145.037,1807,Stratovolcano,1996,12,3,3,13,29,,,P,D1,Historical
2177,Rabaul,Papua New Guinea,New Britain-SW Pac,-4.246,152.194,688,Pyroclastic shield,683,,,6,,,,,,D1,Historical
2180,Rabaul,Papua New Guinea,New Britain-SW Pac,-4.246,152.194,688,Pyroclastic shield,1994,9,19,3,5,,,86,"T,W,E",D1,Historical
2188,Lamington,Papua New Guinea,New Guinea,-8.95,148.15,1680,Stratovolcano,1951,1,21,4,2942,,,,P,D2,Historical
2190,Bagana,Papua New Guinea,Bougainville-SW Paci,-6.137,155.196,1855,Lava cone,1883,12,,3,,,,,T,D1,Historical
2208,Kavachi,Solomon Is.,Solomon Is-SW Pacifi,-8.991,157.979,-20,Submarine volcano,1951,,,2,,,,,,D1,Historical
2227,Savo,Solomon Is.,Solomon Is-SW Pacifi,-9.13,159.82,485,Stratovolcano,1568,,,3,1001,,,,"P,T,M",D3,Historical
2234,Tinakula,Solomon Is.,Santa Cruz Is-SW Pac,-10.386,165.804,796,Stratovolcano,1966,1,13,3,,,,,,D1,Historical
2235,Tinakula,Solomon Is.,Santa Cruz Is-SW Pac,-10.386,165.804,796,Stratovolcano,1971,9,6,2,,,,,,D1,Historical
2250,Ambrym,Vanuatu,Vanuatu-SW Pacific,-16.25,168.12,1334,Pyroclastic shield,1894,10,,3,10,,,,"T,L",D1,Historical
2251,Ambrym,Vanuatu,Vanuatu-SW Pacific,-16.25,168.12,1334,Pyroclastic shield,1913,12,6,3,21,,,,T,D1,Historical
2308,Yasur,Vanuatu,Vanuatu-SW Pacific,-19.532,169.447,361,Stratovolcano,1994,1,15,3,1,,,,T,D1,Historical
2367,Marapi,Indonesia,Sumatra,-0.38,100.474,2885,Complex volcano,1975,1,,2,80,,,,M,D1,Historical
2372,Marapi,Indonesia,Sumatra,-0.38,100.474,2885,Complex volcano,1992,7,5,2,1,5,,,T,D1,Historical
2429,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,1883,8,27,6,36417,,,,"W,P,I",D1,Historical
2431,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,1928,3,26,2,,,,,,D1,Historical
2433,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,1930,3,17,2,,,,,,D1,Historical
2496,Tangkuban Parahu,Indonesia,Java,-6.77,107.6,2084,Stratovolcano,1846,5,27,2,,,,,,D1,Historical
2504,Papandayan,Indonesia,Java,-7.32,107.73,2665,Stratovolcano,1924,12,18,1,1,,,,G,D2,Historical
2505,Guntur,Indonesia,Java,-7.143,107.841,2251,Complex volcano,1690,,,3,,,,,,D3,Historical
2521,Galunggung,Indonesia,Java,-7.25,108.058,2168,Stratovolcano,1822,10,8,5,4011,,,,"P,M",D1,Historical
2524,Galunggung,Indonesia,Java,-7.25,108.058,2168,Stratovolcano,1982,5,17,4,68,,,15,"I,T",D1,Historical
2527,Ciremai,Indonesia,Java,-6.895,108.408,3039,Stratovolcano,1698,,,3,,,,,,D2,Historical
2571,Dieng Volcanic Complex,Indonesia,Java,-7.2,109.879,2565,Complex volcano,1826,10,11,2,,,,,,D1,Historical
2572,Dieng Volcanic Complex,Indonesia,Java,-7.2,109.879,2565,Complex volcano,1847,12,4,2,,,,,,D1,Historical
2573,Dieng Volcanic Complex,Indonesia,Java,-7.2,109.879,2565,Complex volcano,1928,5,13,2,40,,,,T,D1,Historical
2574,Dieng Volcanic Complex,Indonesia,Java,-7.2,109.879,2565,Complex volcano,1939,10,13,1,10,,,,T,D1,Historical
2582,Miyakejima,Japan,Izu Is-Japan,34.094,139.526,775,Stratovolcano,1874,7,3,3,1,,45,,T,D1,Historical
2583,Miyakejima,Japan,Izu Is-Japan,34.094,139.526,775,Stratovolcano,1940,7,12,2,11,20,24,,L,D1,Historical
2585,Miyakejima,Japan,Izu Is-Japan,34.094,139.526,775,Stratovolcano,1983,10,3,3,,,400,,"L,T",D1,Historical
2589,Hachijojima,Japan,Izu Is-Japan,33.137,139.766,854,Stratovolcano,1606,1,23,2,,,,,,D5,Historical
2591,Aogashima,Japan,Izu Is-Japan,32.458,139.759,423,Stratovolcano,1780,7,27,3,7,,,,,D4,Historical
2592,Aogashima,Japan,Izu Is-Japan,32.458,139.759,423,Stratovolcano,1785,4,18,3,135,,,,,D4,Historical
2594,Myojinsho,Japan,Izu Is-Japan,31.888,139.918,11,Submarine volcano,1915,6,19,,,,,,W,D1,Historical
2608,Izu-Torishima,Japan,Izu Is-Japan,30.484,140.303,394,Stratovolcano,1902,8,7,3,125,,,,,D1,Historical
2609,Izu-Torishima,Japan,Izu Is-Japan,30.484,140.303,394,Stratovolcano,1939,8,17,2,2,,,,,D1,Historical
2673,Oshima-Oshima,Japan,Hokkaido-Japan,41.51,139.367,732,Stratovolcano,1741,8,23,4,2000,,871,,"W,S",D4,Historical
2676,Hokkaido-Komagatake,Japan,Hokkaido-Japan,42.063,140.677,1131,Stratovolcano,1640,7,31,5,700,,20,,W,D1,Historical
2679,Hokkaido-Komagatake,Japan,Hokkaido-Japan,42.063,140.677,1131,Stratovolcano,1856,9,25,4,25,,,,"P,T",D1,Historical
2686,Hokkaido-Komagatake,Japan,Hokkaido-Japan,42.063,140.677,1131,Stratovolcano,1929,6,17,4,2,4,1915,,T,D1,Historical
2693,Toya,Japan,Hokkaido-Japan,42.544,140.839,733,Stratovolcano,1663,8,16,5,5,,,,"T,P",D1,Historical
2695,Toya,Japan,Hokkaido-Japan,42.544,140.839,733,Stratovolcano,1822,3,9,4,50,53,,,P,D1,Historical
2696,Toya,Japan,Hokkaido-Japan,42.544,140.839,733,Stratovolcano,1910,7,25,2,1,,,,M,D1,Historical
2697,Toya,Japan,Hokkaido-Japan,42.544,140.839,733,Stratovolcano,1944,12,28,2,1,,,,T,D1,Historical
2699,Toya,Japan,Hokkaido-Japan,42.544,140.839,733,Stratovolcano,1978,10,24,3,3,2,,,m,D1,Historical
2740,Tokachidake,Japan,Hokkaido-Japan,43.418,142.686,2077,Stratovolcano,1926,5,24,3,144,207,5080,,"M,T",D1,Historical
2746,Tokachidake,Japan,Hokkaido-Japan,43.418,142.686,2077,Stratovolcano,1962,6,29,3,5,11,,,T,D1,Historical
2813,Raikoke,Russia,Kuril Is,48.292,153.25,551,Stratovolcano,1778,,,4,15,,,,T,D2,Historical
2818,Sinarka,Russia,Kuril Is,48.873,154.182,911,Stratovolcano,1872,,,4,,,,,P,D3,Historical
2822,Kharimkotan,Russia,Kuril Is,49.12,154.508,1145,Stratovolcano,1933,1,8,5,2,,,,W,D2,Historical
2840,Alaid,Russia,Kuril Is,50.861,155.565,2285,Stratovolcano,1854,6,27,3,,,,,,D1,Historical
2844,Alaid,Russia,Kuril Is,50.861,155.565,2285,Stratovolcano,1981,4,27,2,,,,,,D1,Historical
2882,Avachinsky,Russia,Kamchatka,53.256,158.836,2717,Stratovolcano,1827,6,27,2,,,,,,D1,Historical
2921,Karymsky,Russia,Kamchatka,54.049,159.443,1513,Stratovolcano,1996,1,2,2,,,,,,D1,Historical
2952,Bezymianny,Russia,Kamchatka,55.972,160.595,2882,Stratovolcano,1956,3,30,5,,,,,,D1,Historical
3046,Klyuchevskoy,Russia,Kamchatka,56.056,160.642,4754,Stratovolcano,1977,8,2,3,1,,,,T,D1,Historical
3050,Klyuchevskoy,Russia,Kamchatka,56.056,160.642,4754,Stratovolcano,1983,3,8,2,1,,,,T,D1,Historical
3060,Sheveluch,Russia,Kamchatka,56.653,161.36,3283,Stratovolcano,1854,2,18,5,,,,,,D1,Historical
3067,Sheveluch,Russia,Kamchatka,56.653,161.36,3283,Stratovolcano,1990,2,2,3,,,,,,D1,Historical
3105,Cleveland,United States,Aleutian Is,52.825,-169.944,1730,Stratovolcano,1944,6,10,3,1,,,,T,D1,Historical
3117,Vsevidof,United States,Aleutian Is,53.13,-168.693,2149,Stratovolcano,1957,3,11,2,,,,,,D3,Historical
3164,Shishaldin,United States,Aleutian Is,54.756,-163.97,2857,Stratovolcano,1825,3,21,3,,,,,,D1,Historical
3248,Novarupta,United States,Alaska Peninsula,58.266,-155.159,841,Caldera,1912,9,6,6,2,,,,T,D2,Historical
3268,Augustine,United States,Alaska-SW,59.363,-153.435,1218,Lava dome,1883,10,6,4,8,,,,,D1,Historical
3294,Spurr,United States,Alaska-SW,61.299,-152.251,3374,Stratovolcano,1992,9,17,4,1,,,2,I,D1,Historical
3297,Churchill,United States,Alaska-E,61.38,-141.75,5005,Stratovolcano,847,,,6,,,,,,D6,Radiocarbon
3304,St. Helens,United States,US-Washington,46.2,-122.18,2549,Stratovolcano,1800,,,5,,,,,I,D1,Historical
3314,St. Helens,United States,US-Washington,46.2,-122.18,2549,Stratovolcano,1980,5,18,5,61,,,2000,"P,M,T",D1,Historical
3343,Kilauea,United States,Hawaiian Is,19.421,-155.287,1222,Shield volcano,1790,11,,4,5405,,,,P,D1,Historical
3344,Kilauea,United States,Hawaiian Is,19.421,-155.287,1222,Shield volcano,1823,2,,,,,,,L,D1,Historical
3347,Kilauea,United States,Hawaiian Is,19.421,-155.287,1222,Shield volcano,1840,5,30,,,,,,,D1,Historical
3372,Kilauea,United States,Hawaiian Is,19.421,-155.287,1222,Shield volcano,1924,5,10,2,1,,,,T,D1,Historical
3407,Kilauea,United States,Hawaiian Is,19.421,-155.287,1222,Shield volcano,1975,11,29,,2,,,4,W,D1,Historical
3423,Mauna Loa,United States,Hawaiian Is,19.475,-155.608,4170,Shield volcano,1868,4,3,2,77,,,,"W,M",D1,Historical
3432,Mauna Loa,United States,Hawaiian Is,19.475,-155.608,4170,Shield volcano,1877,2,14,,,,,,,D1,Historical
3443,Mauna Loa,United States,Hawaiian Is,19.475,-155.608,4170,Shield volcano,1919,9,29,,,,,,,D1,Historical
3473,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,1576,,,3,,,,,,D1,Historical
3477,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,1818,2,5,4,,,,,,D1,Historical
3479,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,1913,1,20,4,13,,,,"P,m",D1,Historical
3502,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,1996,4,30,3,5,,,,,D1,Historical
3518,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,Tuff cone,1982,3,29,5,1879,,,3.3,"P,T,M,S",D1,Historical
3519,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,Tuff cone,1982,4,4,5,33,,,,P,D1,Historical
3521,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,1902,10,25,6,10000,,,,"T,G",D1,Historical
3523,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,1929,11,2,3,200,,,,"P,M",D1,Historical
3543,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1581,12,26,4,,,,,,D1,Historical
3546,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1617,,,3,,,,,,D1,Historical
3551,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1717,8,27,4,,,3000,,S,D1,Historical
3559,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1860,8,18,2,,,,,,D1,Historical
3562,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1932,1,21,4,,,,,,D1,Historical
3569,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1963,9,28,3,7,,,,M,D1,Historical
3573,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1971,9,14,3,10,,,,"M,T",D1,Historical
3574,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1974,10,10,4,,,,,"T,M",D1,Historical
3578,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,1999,5,21,2,,,,,,D1,Historical
3580,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1565,8,,3,,,,,,D1,Historical
3608,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1995,4,7,3,1,,1,,M,D1,Historical
3651,Izalco,El Salvador,El Salvador,13.813,-89.633,1950,Stratovolcano,1920,10,29,3,,,,,P,D1,Historical
3662,San Salvador,El Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,1659,9,30,3,,,,,S,D2,Historical
3664,San Salvador,El Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,1917,6,7,3,325,,,,"S,L",D2,Historical
3665,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,450,,,6,30000,,,,,D3,Historical
3688,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,1835,1,20,5,,,,,"G,I",D3,Historical
3726,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,1992,4,10,3,11,50,,3,"T,I",D1,Historical
3763,Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394,Stratovolcano,1996,9,27,,6,,,,m,U,Holocene
3766,Rincon de la Vieja,Costa Rica,Costa Rica,10.83,-85.324,1916,Complex volcano,1966,11,6,3,,,,,"P,T,G",D1,Historical
3821,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3436,Stratovolcano,1963,12,10,3,40,,400,,"M,T",D1,Historical
3830,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,1595,3,12,4,636,,,,M,D1,Historical
3833,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,1845,2,19,3,1000,,,,M,D1,Historical
3835,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,1985,11,13,3,23080,10000,,,M,D1,Historical
3846,Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,1885,5,25,3,,,,,,D1,Historical
3851,Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,1949,5,26,2,17,,,,T,D1,Historical
3855,Dona Juana,Colombia,Colombia,1.5,-76.936,4137,Stratovolcano,1899,11,13,4,55,,,,P,D2,Historical
3900,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,1660,10,27,4,,,,,P,D1,Historical
3906,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,1999,10,5,3,2,,,,T,D1,Historical
3918,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,1742,6,15,3,,,,,M,D2,Historical
3919,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,1742,12,9,3,,,,,M,D2,Historical
3927,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,1768,4,4,4,,,,,M,D2,Historical
3944,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,1877,6,25,4,340,,,,M,D2,Historical
3959,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,1640,,,3,5000,,,,P,D1,Historical
3965,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,1886,1,11,4,2,,,,P,D1,Historical
3966,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,1916,3,3,4,,,,,,D1,Historical
3970,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,1999,10,16,3,1,4,,,T,D1,Historical
4033,"Azul, Cerro",Ecuador,Galapagos,-0.92,-91.408,1640,Shield volcano,1943,4,13,3,1,,,,T,D1,Historical
4052,Huaynaputina,Peru,Peru,-16.614,-70.854,4679,Stratovolcano,1600,2,19,6,1500,,,,,D5,Historical
4078,Unnamed,Chile,Chile-Is,-33.62,-76.83,-642,Submarine volcano,1839,2,12,2,,,,,,Unknown,Uncertain
4118,Lonquimay,Chile,Chile-C,-38.379,-71.586,2832,Stratovolcano,1988,12,25,3,1,,,,T,D1,Historical
4139,Villarrica,Chile,Chile-C,-39.42,-71.93,2847,Stratovolcano,1949,1,1,3,54,,,,M,D1,Historical
4140,Villarrica,Chile,Chile-C,-39.42,-71.93,2847,Stratovolcano,1964,3,3,2,25,,,,M,D1,Historical
4141,Villarrica,Chile,Chile-C,-39.42,-71.93,2847,Stratovolcano,1971,10,29,2,15,,,,M,D1,Historical
4150,Carran-Los Venados,Chile,Chile-C,-40.35,-72.07,1114,Pyroclastic cone,1955,7,26,4,2,,,,G,D1,Historical
4153,Puyehue-Cordon Caulle,Chile,Chile-C,-40.59,-72.117,2236,Stratovolcano,1960,5,25,3,,,,,,U,Holocene
4160,Calbuco,Chile,Chile-S,-41.33,-72.618,1974,Stratovolcano,1917,4,,3,,,,,,D2,Historical
4161,Calbuco,Chile,Chile-S,-41.33,-72.618,1974,Stratovolcano,1929,1,6,3,,,,,,D2,Historical
4172,Liamuiga,St. Kitts & Nevis,W Indies,17.37,-62.8,1156,Stratovolcano,1843,2,8,,,,,,,D6,Radiocarbon
4175,Soufriere Hills,Montserrat,W Indies,16.72,-62.18,915,Stratovolcano,1997,8,1,3,2,,,,,D1,Historical
4187,Soufriere Guadeloupe,Guadeloupe,W Indies,16.044,-61.664,1467,Stratovolcano,1843,2,17,,,,,,,D1,Historical
4193,Pelee,Martinique,W Indies,14.809,-61.166,1372,Stratovolcano,1902,5,8,4,28000,,,,P,D2,Historical
4197,Soufriere St. Vincent,St. Vincent & the Grenadines,W Indies,13.33,-61.18,1220,Stratovolcano,1812,4,27,4,56,,,,"T, m",D1,Historical
4199,Soufriere St. Vincent,St. Vincent & the Grenadines,W Indies,13.33,-61.18,1220,Stratovolcano,1902,5,7,4,1680,,,,P,D1,Historical
4202,Soufriere St. Vincent,St. Vincent & the Grenadines,W Indies,13.33,-61.18,1220,Stratovolcano,1979,4,13,3,2,,,,"T,P",D1,Historical
4205,Kick 'em Jenny,Netherlands,W Indies,12.3,-61.64,-185,Submarine volcano,1965,10,24,,,,,,,D1,Historical
4224,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1177,,,3,,,,,,D2,Historical
4225,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1262,,,3,,,,,F,D2,Historical
4226,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1311,1,18,4,,,,,F,D2,Historical
4227,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1357,,,4,,,,,,D2,Historical
4229,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1580,8,11,4,,,,,,D2,Historical
4231,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1625,9,2,5,,,,,,D2,Historical
4232,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1660,11,3,4,,,,,,D2,Historical
4233,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1721,5,11,5,,,,,,D2,Historical
4234,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1755,10,17,4,2,,,,E,D2,Historical
4238,Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,1918,10,12,4,,,,,,D2,Historical
4241,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1104,10,15,5,,,,,,D1,Historical
4242,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1158,1,19,4,,,,,,D1,Historical
4243,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1206,12,4,2,,,,,,D1,Historical
4244,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1300,7,11,4,600,,,,,D1,Historical
4245,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1341,5,19,3,,,,,,D1,Historical
4246,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1389,12,1,3,,,,,,D1,Historical
4248,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1510,7,25,4,1,,,,T,D1,Historical
4249,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1597,1,3,4,,,,,,D1,Historical
4250,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1636,5,15,3,,,,,,D1,Historical
4251,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1693,2,13,4,,,,,,D1,Historical
4252,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1766,4,5,4,,,,,,D1,Historical
4253,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1845,9,2,4,,,,,,D1,Historical
4254,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1970,5,5,3,,,,,,D1,Historical
4255,Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,1980,8,17,3,,,,,,D1,Historical
4275,Grimsvotn,Iceland,Iceland-NE,64.416,-17.316,1719,Caldera,1684,12,,2,1,,,,F,D1,Historical
4280,Grimsvotn,Iceland,Iceland-NE,64.416,-17.316,1719,Caldera,1784,4,,4,9350,,,,I,D1,Historical
4283,Grimsvotn,Iceland,Iceland-NE,64.416,-17.316,1719,Caldera,1861,5,,2,,,,,,D1,Historical
4291,Grimsvotn,Iceland,Iceland-NE,64.416,-17.316,1719,Caldera,1996,9,30,3,,,,,,D1,Historical
4305,Askja,Iceland,Iceland-NE,65.033,-16.783,1080,Stratovolcano,1875,3,29,5,,,,,,D2,Historical
4316,Krafla,Iceland,Iceland-NE,65.715,-16.728,800,Caldera,1729,6,30,2,,,,,,D1,Historical
4319,Krafla,Iceland,Iceland-NE,65.715,-16.728,800,Caldera,1977,4,27,1,,,,,,D1,Historical
4326,Oraefajokull,Iceland,Iceland-SE,64,-16.65,2010,Stratovolcano,1362,6,5,5,220,,,,"T,F",D4,Historical
4327,Oraefajokull,Iceland,Iceland-SE,64,-16.65,2010,Stratovolcano,1727,8,3,4,3,,,,F,D4,Historical
4339,Fayal,Portugal,Azores,38.576,-28.713,1041,Stratovolcano,1672,4,24,2,3,,,,,D2,Historical
